as_of_date,pair,tenor,quote_type,value,ticker,field,source,snapped_at
2026-09-17,XAUUSD,1M,RR10,1.79,XAUUSD10R1M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,1M,RR25,0.9625,XAUUSD25R1M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,1W,ATM,22.3075,XAUUSDV1W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,1W,BF10,1.3775,XAUUSD10B1W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,1W,BF25,0.39,XAUUSD25B1W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,1W,RR10,1.2325,XAUUSD10R1W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,1W,RR25,0.67,XAUUSD25R1W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,1Y,ATM,22.8375,XAUUSDV1Y BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,1Y,BF10,3.2325,XAUUSD10B1Y BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,1Y,BF25,0.9275,XAUUSD25B1Y BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,1Y,RR10,2.8525,XAUUSD10R1Y BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,1Y,RR25,1.415,XAUUSD25R1Y BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,2M,ATM,22.955,XAUUSDV2M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
