as_of_date,instrument_id,settle_date,mark_type,value,source,snapped_at
2026-09-04,USDZAR,2026-09-04,SPOT,15.9583,BBG_BFXFORWARD,2026-09-04T17:00:00-04:00
2026-09-04,USDZAR,2026-09-08,FWD_OUTRIGHT,15.9583,BBG_INTERP,2026-09-04T17:00:00-04:00
2026-09-04,USDZAR,2026-09-16,FWD_OUTRIGHT,15.967142857142857,BBG_INTERP,2026-09-04T17:00:00-04:00
2026-09-04,XAUUSD,2026-09-04,SPOT,4429.98,BBG_BFXFORWARD,2026-09-04T17:00:00-04:00
2026-09-07,AUDUSD,2026-09-07,SPOT,0.7218,BBG_BFXFORWARD,2026-09-07T17:00:00-04:00
2026-09-07,AUDUSD,2026-09-16,FWD_OUTRIGHT,0.721723,BBG_INTERP,2026-09-07T17:00:00-04:00
2026-09-07,AUDUSD,2026-09-24,FWD_OUTRIGHT,0.7216494375,BBG_INTERP,2026-09-07T17:00:00-04:00
2026-09-07,AUDUSD,2026-09-28,FWD_OUTRIGHT,0.7216071875,BBG_INTERP,2026-09-07T17:00:00-04:00
2026-09-07,EURSEK,2026-09-07,SPOT,11.1498,BBG_BFXFORWARD,2026-09-07T17:00:00-04:00
2026-09-07,EURSEK,2026-09-25,FWD_OUTRIGHT,11.146539750000002,BBG_INTERP,2026-09-07T17:00:00-04:00
2026-09-07,EURSEK,2026-11-25,FWD_OUTRIGHT,11.1335136,BBG_INTERP,2026-09-07T17:00:00-04:00
2026-09-07,EURSEK,2026-11-27,FWD_OUTRIGHT,11.133119800000001,BBG_INTERP,2026-09-07T17:00:00-04:00
2026-09-07,EURUSD,2026-09-07,SPOT,1.1623,BBG_BFXFORWARD,2026-09-07T17:00:00-04:00
2026-09-07,EURUSD,2026-09-16,FWD_OUTRIGHT,1.1626200000000002,BBG_INTERP,2026-09-07T17:00:00-04:00
2026-09-07,EURUSD,2026-09-24,FWD_OUTRIGHT,1.1629596875000001,BBG_INTERP,2026-09-07T17:00:00-04:00
2026-09-07,GBPUSD,2026-09-07,SPOT,1.3541,BBG_BFXFORWARD,2026-09-07T17:00:00-04:00
2026-09-07,GBPUSD,2026-09-16,FWD_OUTRIGHT,1.3540860000000001,BBG_INTERP,2026-09-07T17:00:00-04:00
2026-09-07,USDCAD,2026-09-07,SPOT,1.3814,BBG_BFXFORWARD,2026-09-07T17:00:00-04:00
2026-09-07,USDCAD,2026-09-16,FWD_OUTRIGHT,1.380941,BBG_INTERP,2026-09-07T17:00:00-04:00
2026-09-07,USDCHF,2026-09-07,SPOT,0.8095,BBG_BFXFORWARD,2026-09-07T17:00:00-04:00
2026-09-07,USDCHF,2026-09-08,FWD_OUTRIGHT,0.8095,BBG_INTERP,2026-09-07T17:00:00-04:00
